race_times
Time (s),Tank Length (m),Tank Radius (m),P0 (Pa),Gear Radius (m),Stroke Length (m),Piston Radius (m),Density (kg/m^3), Iteration Percentage
5.629999999999924,0.22846648696036723,0.05466069781203025,79287.9280621113,0.005359712674866734,0.4054846071410888,0.030577956262483063,8940.06.429999999999907,0.2,0.05,70000.0,0.002,0.1,0.022222222222222223,8000,0.00075
5.779999999999921,0.2,0.05,70000.0,0.002,0.14444444444444446,0.024444444444444446,8000,0.00143
5.729999999999922,0.2,0.05,70000.0,0.0028888888888888888,0.18888888888888888,0.026666666666666665,8940,0.0092
5.659999999999924,0.2,0.05,70000.0,0.003777777777777778,0.2777777777777778,0.026666666666666665,7700,0.017589999999999998
5.609999999999925,0.2,0.06666666666666668,70000.0,0.0028888888888888888,0.18888888888888888,0.02,2700,0.70859
5.599999999999925,0.2,0.1,156666.6666666667,0.0028888888888888888,0.18888888888888888,0.024444444444444446,4500,2.529
5.5799999999999255,0.22222222222222224,0.1,70000.0,0.0028888888888888888,0.18888888888888888,0.02,1200,16.10846
6.499999999999906,0.2,0.05,70000.0,0.002,0.1,0.02210526315789474,8000,1.1953125e-05
5.919999999999918,0.2,0.05,70000.0,0.002,0.12105263157894737,0.023157894736842106,7700,2.2109375e-05
5.7199999999999225,0.2,0.05,70000.0,0.002,0.12105263157894737,0.02526315789473684,8940,2.3125e-05
5.6699999999999235,0.2,0.05,70000.0,0.0024210526315789475,0.1631578947368421,0.02631578947368421,8940,0.00026375000000000004
5.629999999999924,0.2,0.05,70000.0,0.004105263157894737,0.2894736842105263,0.02736842105263158,8000,0.0012039062500000001
5.599999999999925,0.2,0.05,76842.1052631579,0.002,0.12105263157894737,0.024210526315789474,8940,0.004398359375
5.589999999999925,0.2,0.05789473684210527,70000.0,0.0024210526315789475,0.14210526315789473,0.028421052631578948,8000,0.087752265625
5.5799999999999255,0.2,0.05789473684210527,76842.1052631579,0.0024210526315789475,0.14210526315789473,0.028421052631578948,8940,0.09212734375000001
5.569999999999926,0.2,0.06578947368421054,90526.31578947368,0.0024210526315789475,0.14210526315789473,0.02736842105263158,7700,0.188376875
5.559999999999926,0.2,0.08157894736842106,83684.21052631579,0.002,0.12105263157894737,0.021052631578947368,2700,0.358762890625
6.559999999999905,0.2,0.05,70000.0,0.002,0.1,0.021666666666666667,7700,2.965504e-06
6.4699999999999065,0.2,0.05,70000.0,0.002,0.1,0.023333333333333334,8940,3.096576e-06
6.209999999999912,0.2,0.05,70000.0,0.002,0.11666666666666667,0.0225,7700,5.57056e-06
5.759999999999922,0.2,0.05,70000.0,0.002,0.11666666666666667,0.023333333333333334,7700,5.7671679999999996e-06
5.599999999999925,0.2,0.05,70000.0,0.002,0.11666666666666667,0.024166666666666666,8000,5.931008e-06
5.5799999999999255,0.2,0.05,107916.66666666667,0.002,0.11666666666666667,0.02,8940,0.012552798208000001
5.559999999999926,0.2,0.06875,70000.0,0.002,0.11666666666666667,0.025,4500,0.134404046848
